def_id,study1_image_id,study2_image_id_black,study2_image_id_white
227, BF-009, BF-007, WF-002
552, WM-019, BM-015, WM-017
800, BM-034, BM-212, WM-223
893, LM-201, BM-011, WM-011
1865, WM-018, BM-021, WM-023
2476, BM-003, BM-019, WM-026
2605, LM-226, BM-044, WM-225
2758, BM-002, BM-016, WM-019
2955, BM-018, BM-022, WM-016
3215, WM-249, BM-213, WM-248
3289, BM-025, BM-025, WM-201
3790, WM-012, BM-011, WM-011
4101, BM-004, BM-004, WM-002
4226, WM-002, BM-018, WM-013
4258, WM-003, BM-001, WM-003
4404, BF-001, BF-001, WF-001
4637, BM-021, BM-021, WM-023
4686, BF-203, BF-203, WF-221
4907, BM-029, BM-018, WM-013
4967, BM-020, BM-029, WM-020
5134, WM-010, BM-002, WM-004
5330, BM-022, BM-017, WM-012
5575, BF-007, BF-009, WF-008
5852, BF-211, BF-203, WF-221
5923, WM-011, BM-004, WM-002
6229, WM-023, BM-012, WM-018
6379, WM-009, BM-001, WM-003
6424, LM-215, BM-012, WM-018
6908, BM-011, BM-017, WM-012
7259, WM-015, BM-003, WM-006
7348, BM-012, BM-025, WM-201
7472, empty,NA,NA
7555, empty,NA,NA
7578, BF-024, BF-024, WF-014
7985, BM-017, BM-020, WM-014
8054, BM-212, BM-213, WM-248
8188, WM-004, BM-002, WM-004
8248, WM-006, BM-003, WM-006
8881, BM-033, BM-033, WM-220
8882, BM-001, BM-010, WM-010
8905, WM-223, BM-218, WM-249
9045, WM-221, BM-034, WM-221
9150, WM-001, BM-009, WM-001
9405, BF-027, BF-024, WF-014
9437, LM-200, BM-013, WM-015
9830, WM-248, BM-034, WM-221
10008, WM-017, BM-005, WM-009
10491, WM-013, BM-020, WM-014
10878, LM-203, BM-212, WM-223
332, BF-010, BF-007, WF-002
700, BM-002, BM-005, WM-009
1032, LM-201, BM-004, WM-002
1871, BF-001, BF-001, WF-001
2072, empty,NA,NA
2353, WM-249, BM-218, WM-249
2718, BF-009, BF-009, WF-008
2854, BM-011, BM-018, WM-013
2897, WM-004, BM-010, WM-010
2937, WM-001, BM-009, WM-001
3122, empty, BM-212, WM-223
3246, WM-002, BM-004, WM-002
3408, WF-022, BF-002, WF-022
3552, WM-006, BM-003, WM-006
3574, BM-010, BM-005, WM-009
3642, BM-012, BM-021, WM-023
3692, BM-021, BM-025, WM-201
3783, WM-023, BM-025, WM-201
4028, BF-007, BF-007, WF-002
4403, BM-025, BM-021, WM-023
4609, WM-248, BM-213, WM-248
4655, WM-012, BM-011, WM-011
5027, BM-003, BM-001, WM-003
5057, BF-203, BF-203, WF-221
5114, empty, BM-213, WM-248
5223, BF-003, BF-003, WF-003
5263, BM-009, BM-009, WM-001
5383, BF-002, BF-002, WF-022
5850, WF-001, BF-004, WF-005
5886, empty, BM-034, WM-221
5993, WM-223, BM-212, WM-223
6319, BM-001, BM-001, WM-003
6801, WM-018, BM-012, WM-018
6980, BF-004, BF-005, WF-006
7012, BM-015, BM-013, WM-015
7245, BM-016, BM-015, WM-017
7468, WM-220, BM-044, WM-225
7605, BM-034, BM-218, WM-249
8171, WM-201, BM-033, WM-220
9268, WM-003, BM-002, WM-004
9524, WM-011, BM-011, WM-011
9801, BM-019, BM-016, WM-019
9921, BM-013, BM-010, WM-010
9979, WF-002, BF-010, WF-018
10134, LM-200, BM-003, WM-006
10528, LM-215, BM-012, WM-018
10540, WF-008, BF-009, WF-008
10677, BM-004, BM-017, WM-012
10721, WM-221, BM-034, WM-221
10921, BM-005, BM-002, WM-004
122, BM-020, BM-018, WM-013
189, WM-221, BM-212, WM-223
265, BM-005, BM-015, WM-017
363, WM-201, BM-012, WM-018
763, LM-200, BM-016, WM-019
765, empty,NA,NA
829, WM-017, BM-013, WM-015
956, BM-013, BM-003, WM-006
1796, BM-009, BM-009, WM-001
1834, WM-002, BM-011, WM-011
1904, BM-004, BM-004, WM-002
2078, WM-023, BM-021, WM-023
2121, BF-001, BF-001, WF-001
2396, empty,NA,NA
3056, BM-019, BM-019, WM-026
3146, LM-215, BM-021, WM-023
3483, WM-018, BM-012, WM-018
3585, WM-248, BM-212, WM-223
3761, BM-021, BM-025, WM-201
4076, BM-017, BM-004, WM-002
4255, WM-006, BM-013, WM-015
4436, BM-002, BM-003, WM-006
4730, WM-024, BM-036, WM-024
5224, BM-015, BM-010, WM-010
5354, BM-016, BM-015, WM-017
5485, BM-003, BM-010, WM-010
5553, WM-019, BM-023, WM-028
6205, BM-034, BM-034, WM-221
6443, WM-004, BM-005, WM-009
6658, BM-012, BM-025, WM-201
7257, WM-010, BM-001, WM-003
7340, WF-002, BF-007, WF-002
7445, LM-201, BM-017, WM-012
7723, LM-206, BM-016, WM-019
7754, WM-015, BM-005, WM-009
7788, BM-011, BM-011, WM-011
7914, WM-223, BM-213, WM-248
8036, LM-226, BM-033, WM-220
8045, WM-003, BM-001, WM-003
8278, BM-212, BM-034, WM-221
8526, BF-003, BF-003, WF-003
8835, BM-022, BM-020, WM-014
9031, BM-010, BM-002, WM-004
9488, WM-001, BM-009, WM-001
9747, BM-018, BM-017, WM-012
9832, WM-009, BM-019, WM-026
10498, empty,NA,NA
10499, WF-001, BF-004, WF-005
10836, BM-001, BM-002, WM-004
10979, BM-025, BM-044, WM-225
730, AM-205, BM-022, WM-016
807, WM-006, BM-005, WM-009
919, LM-215, BM-012, WM-018
1212, BF-001, BF-001, WF-001
1314, BM-041, BM-041, WM-029
1446, WM-012, BM-038, WM-022
1559, WM-004, BM-013, WM-015
1689, WM-223, BM-212, WM-223
2405, BF-006, BF-003, WF-003
2567, WM-018, BM-021, WM-023
2780, empty,NA,NA
3298, WM-011, BM-011, WM-011
4441, WF-221, BF-203, WF-221
4510, WM-248, BM-212, WM-223
5074, BM-004, BM-004, WM-002
5096, BF-027, BF-024, WF-014
5342, WM-221, BM-034, WM-221
5370, BM-010, BM-001, WM-003
5420, BM-003, BM-003, WM-006
5600, BM-001, BM-001, WM-003
5670, WM-001, BM-009, WM-001
5745, BM-020, BM-017, WM-012
5821, WM-002, BM-004, WM-002
6595, BM-033, BM-021, WM-023
6862, BM-022, BM-018, WM-013
6916, BM-002, BM-002, WM-004
7178, BM-025, BM-033, WM-220
7323, BM-021, BM-025, WM-201
8118, BM-011, BM-017, WM-012
8253, BM-032, BM-029, WM-020
8259, empty,NA,NA
8292, BM-005, BM-005, WM-009
8306, BM-012, BM-012, WM-018
8705, BF-003, BF-003, WF-003
8791, WF-002, BF-007, WF-002
8847, BF-024, BF-024, WF-014
8891, empty,NA,NA
9040, BM-029, BM-020, WM-014
9055, LF-227, BF-002, WF-022
9163, BM-038, BM-032, WM-021
9367, BF-004, BF-004, WF-005
9534, BM-034, BM-034, WM-221
9746, LM-200, BM-003, WM-006
9811, BF-005, BF-001, WF-001
9852, BM-009, BM-009, WM-001
10167, BM-013, BM-002, WM-004
10369, LM-201, BM-011, WM-011
10652, BM-017, BM-018, WM-013
10925, WM-003, BM-010, WM-010
10985, BM-018, BM-020, WM-014
22, BM-013, BM-005, WM-009
208, WM-023, BM-021, WM-023
480, BM-036, BM-037, WM-025
657, BF-001, BF-001, WF-001
1300, WF-022, BF-002, WF-022
1522, BM-001, BM-002, WM-004
1718, BM-016, BM-015, WM-017
1841, WF-014, BF-024, WF-014
2165, BM-212, BM-213, WM-248
2400, BM-011, BM-018, WM-013
2687, WM-221, BM-212, WM-223
2841, WM-009, BM-010, WM-010
3055, empty,NA,NA
3084, BF-203, BF-203, WF-221
3110, WM-024, BM-036, WM-024
3255, BM-218, BM-212, WM-223
3641, WM-006, BM-013, WM-015
3952, WM-201, BM-033, WM-220
4182, WM-002, BM-004, WM-002
4520, BF-010, BF-010, WF-018
4524, WM-001, BM-009, WM-001
4593, AM-219, BM-025, WM-201
4748, BF-009, BF-009, WF-008
4754, BM-213, BM-034, WM-221
4870, WM-004, BM-010, WM-010
5069, BM-010, BM-003, WM-006
5249, BM-002, BM-003, WM-006
5369, BM-012, BM-021, WM-023
5372, BF-007, BF-007, WF-002
5387, BM-020, BM-029, WM-020
5563, WM-012, BM-017, WM-012
5623, WM-011, BM-011, WM-011
5673, BM-004, BM-017, WM-012
5968, empty,NA,NA
6360, WM-018, BM-012, WM-018
6449, BM-034, BM-034, WM-221
6690, BM-005, BM-002, WM-004
7099, BM-017, BM-020, WM-014
7148, LM-215, BM-012, WM-018
7847, WM-013, BM-018, WM-013
8438, WF-002, BF-007, WF-002
8471, BM-003, BM-001, WM-003
8563, LM-200, BM-001, WM-003
8863, LM-202, BM-011, WM-011
9229, BM-015, BM-013, WM-015
9495, LM-207, BM-036, WM-024
9831, LM-201, BM-004, WM-002
10136, BM-018, BM-022, WM-016
10807, WM-003, BM-005, WM-009
10949, BM-009, BM-009, WM-001
266, LM-203, BM-034, WM-221
279, empty,NA,NA
469, BM-037, BM-037, WM-025
648, empty,NA,NA
1157, empty, BM-001, WM-003
1191, WM-003, BM-001, WM-003
1611, BM-212, BM-034, WM-221
2152, BF-024, BF-027, WF-026
2638, WM-006, BM-005, WM-009
2898, WF-002, BF-007, WF-002
2907, BM-001, BM-002, WM-004
3293, WF-001, BF-001, WF-001
3347, BF-027, BF-024, WF-014
3412, WM-009, BM-010, WM-010
3562, BM-213, BM-212, WM-223
3950, WM-018, BM-012, WM-018
4139, BM-017, BM-004, WM-002
4165, BM-003, BM-002, WM-004
4694, WM-201, BM-025, WM-201
4835, BM-021, BM-012, WM-018
5506, WM-004, BM-003, WM-006
5689, WM-010, BM-013, WM-015
5939, WM-258, BM-206, WM-258
6164, BF-202, BF-027, WF-026
6339, BM-034, BM-212, WM-223
6668, BM-004, BM-004, WM-002
6687, WM-220, BM-033, WM-220
7247, BF-003, BF-003, WF-003
7508, LM-215, BM-021, WM-023
8014, BM-218, BM-213, WM-248
8258, BM-002, BM-015, WM-017
8403, BM-009, BM-009, WM-001
8534, WF-014, BF-024, WF-014
8565, BM-011, BM-011, WM-011
8642, empty,NA,NA
8777, WM-001, BM-201, WM-035
8939, BF-001, BF-001, WF-001
9172, BM-036, BM-036, WM-024
9380, WM-023, BM-021, WM-023
9484, WF-026, BF-202, WF-216
9685, BM-005, BM-005, WM-009
9971, WF-221, BF-203, WF-221
10169, WM-002, BM-017, WM-012
10267, BF-007, BF-007, WF-002
10317, empty,NA,NA
10492, LF-201, BF-003, WF-003
10560, WM-225, BM-044, WM-225
10580, WF-003, BF-004, WF-005
10703, BM-012, BM-025, WM-201
10931, LM-200, BM-003, WM-006
163, WM-018, BM-021, WM-023
215, BM-032, BM-011, WM-011
510, LM-203, BM-213, WM-248
603, BM-004, BM-004, WM-002
887, BM-020, BM-020, WM-014
1467, BM-011, BM-011, WM-011
1578, WM-225, BM-044, WM-225
1615, WF-014, BF-024, WF-014
1629, BM-016, BM-002, WM-004
1943, BM-015, BM-001, WM-003
2140, empty,NA,NA
2456, WM-023, BM-025, WM-201
2543, BM-012, BM-012, WM-018
2765, BF-003, BF-004, WF-005
2917, WM-004, BM-003, WM-006
2959, BM-001, BM-002, WM-004
3022, BM-022, BM-029, WM-020
3182, BM-010, BM-015, WM-017
3508, BF-002, BF-002, WF-022
4186, empty,NA,NA
4371, empty,NA,NA
4643, BM-029, BM-004, WM-002
4701, WM-201, BM-012, WM-018
4881, BM-041, BM-018, WM-013
4940, BM-018, BM-018, WM-013
5454, WF-001, BF-001, WF-001
5635, WF-237, BF-211, WF-237
5678, BM-021, BM-033, WM-220
6000, BF-001, BF-003, WF-003
6574, BF-007, BF-007, WF-002
6769, WF-026, BF-027, WF-026
7112, BM-034, BM-212, WM-223
7234, LM-215, BM-025, WM-201
7427, BM-005, BM-013, WM-015
7640, WM-220, BM-021, WM-023
7675, WM-001, BM-009, WM-001
7987, WM-002, BM-022, WM-016
8107, WF-221, BF-203, WF-221
8308, BM-002, BM-005, WM-009
8885, BM-013, BM-016, WM-019
8929, LM-201, BM-032, WM-021
9246, WF-240, BF-203, WF-221
9303, BM-017, BM-017, WM-012
9523, BM-038, BM-017, WM-012
9563, WM-003, BM-001, WM-003
9597, WM-006, BM-003, WM-006
9785, WM-221, BM-034, WM-221
9953, BM-003, BM-010, WM-010
10656, BM-009, BM-036, WM-024
10935, LM-202, BM-020, WM-014
210, BM-004, BM-004, WM-002
366, WM-006, BM-015, WM-017
1144, BF-007, BF-007, WF-002
1244, WM-221, BM-034, WM-221
1530, empty,NA,NA
1682, WM-201, BM-209,NA
1874, WF-001, BF-003, WF-003
2446, WM-003, BM-002, WM-004
2484, WM-248, BM-213, WM-248
2519, BM-017, BM-017, WM-012
2654, BM-003, BM-010, WM-010
2681, BM-025, BM-025, WM-201
2865, BM-005, BM-013, WM-015
3113, LM-201, BM-018, WM-013
3480, BM-034, BM-034, WM-221
3488, WM-023, BM-206, WM-258
3636, BF-211, BF-203, WF-221
4476, empty,NA,NA
4612, WM-002, BM-011, WM-011
4834, BF-003, BF-001, WF-001
4933, BM-012, BM-012, WM-018
5128, LM-215, BM-012, WM-018
5138, WM-024, BM-009, WM-001
5535, WM-001, BM-009, WM-001
5727, BM-021, BM-021, WM-023
5921, WM-223, BM-212, WM-223
6022, empty,NA,NA
6570, WM-249, BM-218, WM-249
6631, BM-033, BM-044, WM-225
6661, WM-004, BM-003, WM-006
7381, BF-027, BF-027, WF-026
7488, BM-009, BM-036, WM-024
7581, BM-002, BM-005, WM-009
7821, WM-012, BM-004, WM-002
7962, BF-024, BF-024, WF-014
8000, BF-001, BF-001, WF-001
8264, BM-011, BM-011, WM-011
8285, BM-001, BM-001, WM-003
8355, BM-015, BM-003, WM-006
8761, WM-011, BM-017, WM-012
8794, WF-002, BF-009, WF-008
9041, WM-220, BM-221,NA
9392, empty, BM-225,NA
9475, BM-018, BM-018, WM-013
9745, BM-013, BM-002, WM-004
10243, LF-200, BF-007, WF-002
10449, BF-203, BF-203, WF-221
10643, BM-016, BM-005, WM-009
10686, WM-018, BM-033, WM-220
10975, BM-010, BM-001, WM-003
98, BM-003, BM-003, WM-006
277, BM-213, BM-212, WM-223
622, WF-014, BF-024, WF-014
754, BM-020, BM-011, WM-011
844, empty,NA,NA
1128, WF-001, BF-001, WF-001
1250, BM-011, BM-011, WM-011
1325, BF-203, BF-203, WF-221
1430, LM-203, BM-034, WM-221
1604, BM-025, BM-033, WM-220
2220, BM-034, BM-034, WM-221
2320, BF-004, BF-003, WF-003
2511, LM-215, BM-025, WM-201
2537, BF-003, BF-003, WF-003
2766, BM-002, BM-002, WM-004
3337, BM-004, BM-004, WM-002
3387, BM-212, BM-212, WM-223
3631, WF-026, BF-024, WF-014
3722, BM-019, BM-002, WM-004
3818, BM-010, BM-010, WM-010
3841, empty,NA,NA
3925, BM-001, BM-001, WM-003
4335, BM-012, BM-012, WM-018
4336, BM-015, BM-015, WM-017
4761, LM-201, BM-018, WM-013
4776, BM-044, BM-021, WM-023
5432, empty,NA,NA
5544, BF-005, BF-004, WF-005
5634, WM-018, BM-021, WM-023
6320, BM-021, BM-025, WM-201
6525, WM-221, BM-213, WM-248
6996, BF-002, BF-002, WF-022
7123, BM-023, BM-003, WM-006
7355, WF-002, BF-007, WF-002
7526, WM-003, BM-001, WM-003
7607, BF-001, BF-001, WF-001
8060, empty,NA,NA
8129, BM-024, BM-005, WM-009
8140, BM-018, BM-018, WM-013
8239, BM-005, BM-005, WM-009
8354, WM-002, BM-004, WM-002
8379, empty,NA,NA
8681, BM-017, BM-017, WM-012
8962, WM-011, BM-017, WM-012
9129, BM-013, BM-013, WM-015
9730, WM-012, BM-020, WM-014
9867, BM-033, BM-012, WM-018
9894, WF-008, BF-007, WF-002
10359, BM-016, BM-016, WM-019
10622, BF-024, BF-027, WF-026
70, BM-004, BM-011, WM-011
728, LM-202, BM-017, WM-012
863, WM-220, BM-021, WM-023
934, BM-023, BM-010, WM-010
963, WM-003, BM-001, WM-003
990, WF-014, BF-024, WF-014
1196, WM-012, BM-018, WM-013
1241, WM-002, BM-004, WM-002
1452, WF-022, BF-002, WF-022
2278, empty,NA,NA
2402, BM-034, BM-034, WM-221
2438, empty,NA,NA
2583, WF-002, BF-009, WF-008
2632, empty,NA,NA
3774, empty,NA,NA
3805, WM-006, BM-001, WM-003
3999, BM-021, BM-206, WM-258
4159, WM-201, BM-044, WM-225
4288, WM-223, BM-212, WM-223
4397, BM-025, BM-012, WM-018
4931, WM-221, BM-034, WM-221
5042, BM-012, BM-012, WM-018
5052, WM-023, BM-033, WM-220
5326, WM-013, BM-020, WM-014
5935, BM-002, BM-005, WM-009
5951, LF-202, BF-010, WF-018
6249, WM-018, BM-025, WM-201
6864, BM-005, BM-013, WM-015
7166, BF-007, BF-009, WF-008
7206, LM-215, BM-021, WM-023
7320, WM-004, BM-019, WM-026
7341, BM-015, BM-002, WM-004
7459, BM-001, BM-002, WM-004
7807, WM-014, BM-022, WM-016
7868, BF-024, BF-024, WF-014
7894, BM-009, BM-009, WM-001
7916, BM-003, BM-010, WM-010
8223, WF-008, BF-007, WF-002
8728, WF-001, BF-001, WF-001
8866, LF-200, BF-007, WF-002
9136, BM-016, BM-003, WM-006
9436, BM-019, BM-005, WM-009
9509, BM-010, BM-015, WM-017
9556, LM-201, BM-004, WM-002
10271, LM-210, BM-018, WM-013
10484, WM-011, BM-011, WM-011
