Target,Race,Gender,Age
LF-208,L,F,24.64285714
LF-209,L,F,21.73076923
LF-210,L,F,24.80769231
LF-211,L,F,22.15384615
LF-212,L,F,26.66666667
LF-213,L,F,25.8
LF-214,L,F,29.375
LF-215,L,F,24.56666667
LF-216,L,F,24.72
LF-217,L,F,26.76666667
LF-218,L,F,25.9
LF-219,L,F,24.96153846
LF-220,L,F,22.16
LF-221,L,F,25.80769231
LF-222,L,F,27.53846154
LF-223,L,F,28.19230769
LF-224,L,F,32.26086957
LF-225,L,F,24.70833333
LF-226,L,F,25.38461538
LF-227,L,F,21.44444444
LF-228,L,F,24.5862069
LF-229,L,F,25.86956522
LF-230,L,F,24.7037037
LF-231,L,F,30.34615385
LF-232,L,F,25.23076923
LF-233,L,F,47.92
LF-234,L,F,26.11538462
LF-235,L,F,24.73076923
LF-236,L,F,24.32
LF-237,L,F,30.28571429
LF-238,L,F,42.33333333
LF-239,L,F,27.06451613
LF-240,L,F,43.17241379
LF-241,L,F,29.85185185
LF-242,L,F,23.22222222
LF-243,L,F,24.73076923
LF-244,L,F,24.61538462
LF-245,L,F,32.79310345
LF-246,L,F,30.88888889
LF-247,L,F,29.40740741
LF-248,L,F,31.95833333
LF-249,L,F,28.51724138
LF-250,L,F,28.7037037
LF-251,L,F,29.85185185
LF-252,L,F,28.22222222
LF-253,L,F,27.46153846
LF-254,L,F,22.125
LF-255,L,F,25.23076923
LM-200,L,M,25.93103448
LM-201,L,M,31.17857143
LM-202,L,M,35.19230769
LM-203,L,M,44.09090909
LM-204,L,M,40.06896552
LM-206,L,M,22.70833333
LM-207,L,M,20.5
LM-208,L,M,25.14285714
LM-209,L,M,22.35714286
LM-210,L,M,29.48148148
LM-211,L,M,19.35714286
LM-212,L,M,23.08
LM-213,L,M,30.29166667
LM-214,L,M,27.5
LM-215,L,M,37.65384615
LM-216,L,M,22.59259259
LM-217,L,M,33.44
LM-218,L,M,31.14814815
LM-219,L,M,26.7037037
LM-220,L,M,31.14285714
LM-221,L,M,34.62962963
LM-222,L,M,44.32
LM-223,L,M,28.75
LM-224,L,M,26.55172414
LM-225,L,M,24.74074074
LM-226,L,M,37.39130435
LM-227,L,M,32.27586207
LM-228,L,M,36.14285714
LM-229,L,M,38.48
LM-230,L,M,37.96296296
LM-231,L,M,27.92
LM-232,L,M,31.65384615
LM-233,L,M,33.42307692
LM-234,L,M,30.60714286
LM-235,L,M,32.17241379
LM-236,L,M,43.85714286
LM-237,L,M,50
LM-238,L,M,27.04
LM-239,L,M,27.53846154
LM-240,L,M,35.54166667
LM-241,L,M,26.14285714
LM-242,L,M,21.42307692
LM-243,L,M,21.64285714
LM-244,L,M,24.17857143
LM-246,L,M,28.7037037
LM-247,L,M,25.41666667
LM-248,L,M,24.75862069
LM-249,L,M,21.79166667
LM-250,L,M,22.64285714
LM-251,L,M,26.44
LM-252,L,M,28.66666667
